Code,RIC,Ticker,Short_Name,ID_SEDOL1,ID_ISIN,ID_BB_UNIQUE,ID_BB_GLOBAL,Connect
1,000001.SZ,000001 CH Equity,PING AN BANK-A,6802006,CNE000000040,EQ0013088700003000,BBG000BZDPV5,0
2,000002.SZ,000002 CH Equity,CHINA VANKE CO-A,6803708,CNE0000000T2,EQ0013089100003000,BBG000BZ9Z48,0
4,000004.SZ,000004 CH Equity,SHENZHEN CAU-A,6803087,CNE0000000Y2,EQ0013090100003000,BBG000BZFT18,0
5,000005.SZ,000005 CH Equity,SHENZ FOUNTAIN-A,6809892,CNE0000001L7,EQ0013582200003000,BBG000BZDNK2,0
6,000006.SZ,000006 CH Equity,SHENZ ZHENYE-A,6803065,CNE000000164,EQ0013094900003000,BBG000BZFR12,0
7,000007.SZ,000007 CH Equity,SHENZHEN QUANX-A,6803151,CNE0000000P0,EQ0013095000002000,BBG000BZDMM2,0
8,000008.SZ,000008 CH Equity,CHINA HIGH-SPE-A,6478957,CNE0000001C6,EQ0013095100003000,BBG000BZGLZ7,0
9,000009.SZ,000009 CH Equity,CHINA BAOAN-A,6803098,CNE000000222,EQ0013095200003000,BBG000BZDL53,0
10,000010.SZ,000010 CH Equity,SHENZHEN ECOBE-A,6823698,CNE000000156,EQ0017826900002000,BBG000P6HN18,0
11,000011.SZ,000011 CH Equity,SHENZ PROPS & -A,6803236,CNE000000248,EQ0013075300003000,BBG000BZDJJ3,0
12,000012.SZ,000012 CH Equity,CSG HOLDING CO-A,6192042,CNE0000002R2,EQ0013075400003000,BBG000BZ9JN3,0
14,000014.SZ,000014 CH Equity,SHAHE INDUSTRY-A,6803140,CNE0000003G3,EQ0013088900003000,BBG000BZBV44,0
16,000016.SZ,000016 CH Equity,KONKA GROUP-A,6807830,CNE0000002T8,EQ0013075700003000,BBG000BZCMX1,0
17,000017.SZ,000017 CH Equity,SHENZ CHINA BI-A,6803429,CNE0000002Q4,EQ0013089000003000,BBG000BZDGS9,0
19,000019.SZ,000019 CH Equity,SHENZ CEREALS-A,6803214,CNE000000354,EQ0013076000003000,BBG000BZDFX5,0
20,000020.SZ,000020 CH Equity,SHENZHEN ZHONG-A,6808015,CNE0000002V4,EQ0013076100003000,BBG000BZDSQ5,0
21,000021.SZ,000021 CH Equity,SHENZHEN KAIFA-A,6802534,CNE000000FK4,EQ0013582300003000,BBG000BZDWD0,0
23,000023.SZ,000023 CH Equity,SHENZ UNIVERSE-A,6801285,CNE000000834,EQ0013089300003000,BBG000BZFW48,0
25,000025.SZ,000025 CH Equity,SHENZ TELLUS-A,6885449,CNE0000008N8,EQ0013076700003000,BBG000BZFWV8,0
26,000026.SZ,000026 CH Equity,FIYTA PRECISI-A,6803559,CNE000000875,EQ0013089600003000,BBG000BZFP16,0
27,000027.SZ,000027 CH Equity,SHENZHEN ENERG-A,6780403,CNE000000933,EQ0013089700003000,BBG000BZDX11,0
28,000028.SZ,000028 CH Equity,CHINA NATIONAL-A,6803601,CNE0000009N6,EQ0013076900003000,BBG000BZFMV0,0
29,000029.SZ,000029 CH Equity,SHENZ SP ECON-A,6773254,CNE0000009X5,EQ0013089800003000,BBG000BZDD06,0
30,000030.SZ,000030 CH Equity,FAWER AUTOMOTI-A,6803612,CNE0000009Z0,EQ0013089200003000,BBG000BZFM68,0
31,000031.SZ,000031 CH Equity,GRANDJOY-A,6780447,CNE000000BJ5,EQ0013089900003000,BBG000BZDB55,0
32,000032.SZ,000032 CH Equity,SHENZ SED IND-A,6781440,CNE000000BK3,EQ0013090000003000,BBG000BZD950,0
